Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
2018-10-12,1979.95,1978.0,1978.0,1903.0,1920.0,1918.3,1927.35,9373289,18065633066.8,337356
2018-10-15,1918.3,1940.0,1955.55,1920.0,1954.6,1949.5,1939.74,2638151,5117323443.3,102337
2018-10-16,1949.5,1958.0,1971.9,1935.0,1964.05,1962.3,1952.66,2815425,5497567674.45,116402
2018-10-17,1962.3,1970.0,1989.0,1920.0,1930.0,1929.4,1945.4,2779207,5406659605.95,149723
2018-10-19,1929.4,1929.0,1929.0,1870.05,1920.0,1913.2,1896.96,3428776,6504263185.65,152721
2018-10-22,1913.2,1914.0,1916.0,1886.95,1900.25,1903.0,1903.03,1778496,3384527484.4,104583
2018-10-23,1903.0,1888.0,1898.0,1837.0,1847.75,1843.65,1865.59,2752811,5135609621.3,150962
2018-10-24,1843.65,1852.05,1874.0,1811.1,1865.5,1848.5,1841.95,2735913,5039409502.55,143163
2018-10-25,1848.5,1844.0,1876.9,1825.05,1845.0,1853.0,1859.3,2507233,4661706320.6,160372
2018-10-26,1853.0,1853.9,1853.9,1791.1,1796.0,1799.1,1813.56,2285970,4145736813.3,166483
2018-10-29,1799.1,1808.7,1877.95,1784.35,1866.0,1871.0,1832.62,2609483,4782188593.4,119651
2018-10-30,1871.0,1867.0,1909.4,1845.0,1894.0,1894.8,1890.59,2404883,4546640692.8,125360
2018-10-31,1894.8,1900.0,1943.9,1875.45,1934.6,1938.15,1915.93,2769190,5305567326.85,155493
2018-11-01,1938.15,1943.65,1944.35,1901.3,1928.0,1935.75,1918.75,2769759,5314468623.65,136593
2018-11-02,1935.75,1934.2,1954.6,1905.0,1913.45,1913.45,1926.04,1818635,3502756049.75,89292
2018-11-05,1913.45,1910.0,1927.35,1884.75,1894.0,1890.85,1901.41,1713366,3257810198.8,97267
2018-11-06,1890.85,1894.0,1937.5,1891.0,1930.0,1932.7,1926.88,1398710,2695142003.45,81458
2018-11-07,1932.7,1940.0,1949.0,1937.0,1941.0,1942.15,1942.26,144530,280714185.3,9190
2018-11-09,1942.15,1961.0,1961.95,1905.0,1908.0,1909.2,1918.61,2570479,4931753732.35,201582
2018-11-12,1909.2,1908.5,1946.1,1908.5,1917.8,1914.85,1928.01,2552008,4920284833.9,94374
2018-11-13,1914.85,1915.0,1939.0,1903.0,1936.2,1934.95,1927.95,1418432,2734662510.75,60182
2018-11-14,1934.95,1925.0,1929.9,1870.0,1880.0,1880.65,1883.81,2422318,4563195896.65,112536
2018-11-15,1880.65,1864.0,1899.0,1857.6,1877.0,1872.85,1881.5,1829123,3441500866.15,132944
2018-11-16,1872.85,1889.0,1899.8,1870.25,1889.0,1886.6,1883.01,1829729,3445403284.0,86826
2018-11-19,1886.6,1899.0,1907.35,1864.3,1902.0,1902.45,1883.58,1740628,3278604708.1,81373
2018-11-20,1902.45,1902.0,1902.0,1874.2,1880.0,1878.25,1883.47,1190182,2241673953.05,60265
2018-11-21,1878.25,1871.0,1871.05,1798.55,1813.0,1812.0,1813.73,3840461,6965554445.0,182675
